id,period,timestamp,minute,second,possession,duration,match_id,play_pattern_id,play_pattern_name,team_name,player_id,player_name,position_id,position_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,ps,x,y,outcome_name,shot_statsbomb_xg,technique_id,technique_name,shot_first_time,end_z,shot_key_pass_id
ef01d506-9636-4f71-ac54-c974a808ced9,1,02:43.2,2,43,7,0.55751,3857267,7,From Goal Kick,Senegal,3436,Idrissa Gana Gueye,19,Center Attacking Midfield,120,45,40,Right Foot,87,Open Play,FALSE,106.9,45.7,notgoal,0.21271749,93,Normal,,1.5,a13da51e-a6d7-4353-a689-654cf092ff82
0d7253c1-e810-4908-99ba-95645e24e653,1,07:47.8,7,47,16,0.802989,3857267,3,From Free Kick,Senegal,20611,Boulaye Dia,23,Center Forward,120,33.3,40,Right Foot,87,Open Play,FALSE,109.3,51.9,notgoal,0.16839646,93,Normal,TRUE,0.2,a60de5d6-4c57-4629-aeb8-6110ae0c7c0a
b1ef3a05-c64a-412c-b27d-56989e84874c,1,09:51.5,9,51,18,0.537046,3857267,3,From Free Kick,Ecuador,28559,Enner Remberto Valencia Lastra,21,Left Wing,104.7,40.3,40,Right Foot,62,Free Kick,FALSE,86.9,40.9,notgoal,0.021615954,93,Normal,,,
6f091d57-3a40-485c-b772-e2beb5e0406f,1,09:58.5,9,58,18,0.432044,3857267,3,From Free Kick,Ecuador,28559,Enner Remberto Valencia Lastra,21,Left Wing,106.4,39.9,40,Right Foot,87,Open Play,FALSE,95.9,37.7,notgoal,0.02803523,91,Half Volley,TRUE,,
75686566-096e-4225-877e-aa6be25ff3d9,1,10:52.3,10,52,20,0.251587,3857267,2,From Corner,Senegal,2941,Ismaïla Sarr,21,Left Wing,104.2,40.6,40,Right Foot,87,Open Play,FALSE,99.2,40.2,notgoal,0.042373266,91,Half Volley,,,
77607409-1e72-455a-bbcb-1a8c85c97caf,1,11:53.4,11,53,20,1.355073,3857267,2,From Corner,Senegal,80484,Iliman Ndiaye,17,Right Wing,120,33.7,38,Left Foot,87,Open Play,FALSE,99.7,52.9,notgoal,0.02889044,93,Normal,,3.1,
4b6b31e3-5196-4fed-aa6c-74bc680fd9eb,1,23:37.5,23,37,38,0.056715,3857267,1,Regular Play,Senegal,2941,Ismaïla Sarr,21,Left Wing,104.8,26.2,40,Right Foot,87,Open Play,FALSE,104.1,25.5,notgoal,0.023828069,93,Normal,,,83387495-e7bc-4ecd-be9b-943754944e1f
64ee0bed-abc9-4bef-b12f-288633d366e4,1,24:20.6,24,20,39,0.384675,3857267,2,From Corner,Senegal,21026,Pape Gueye,11,Left Defensive Midfield,105.8,39.5,38,Left Foot,87,Open Play,FALSE,93,36.3,notgoal,0.025696881,93,Normal,,,
87673ba7-c0af-442d-bc06-491241b97ac0,1,24:27.6,24,27,39,0.8286,3857267,2,From Corner,Senegal,8553,Abdou Diallo,5,Left Center Back,118.5,44.7,37,Head,87,Open Play,FALSE,107.9,41.9,notgoal,0.035411544,93,Normal,,,247c9728-d234-4312-9ec7-c4b6f3c76b3c
b5e3a80f-7157-4c7e-813c-52f6cad0f42d,1,36:31.4,36,31,62,1.373818,3857267,3,From Free Kick,Senegal,31751,Pathé Ismaël Ciss,9,Right Defensive Midfield,120,41.1,37,Head,87,Open Play,FALSE,108.1,33.6,notgoal,0.03057826,93,Normal,,4.4,3d752aca-6d71-4b4e-b63f-90d08683976b
55872309-1714-405d-a558-63338d8eadbd,1,43:41.7,43,41,70,0.532186,3857267,5,Other,Senegal,2941,Ismaïla Sarr,21,Left Wing,120,43.4,40,Right Foot,88,Penalty,FALSE,108,40,goal,0.7835,93,Normal,,0.2,
28be3369-0a11-4eee-8c8d-80f2a1b0133e,1,46:31.8,46,31,74,0.032998,3857267,1,Regular Play,Senegal,80484,Iliman Ndiaye,17,Right Wing,108,46.2,38,Left Foot,87,Open Play,FALSE,107.3,46.7,notgoal,0.04522632,91,Half Volley,,,
